eid,autocitas_intragrupo,citaciones_intragrupo_total
2-s2.0-84907328941,0,0
2-s2.0-84903894822,1,1
2-s2.0-84902322546,0,0
2-s2.0-84907546417,2,2
2-s2.0-85027274141,0,0
2-s2.0-84905587194,2,2
2-s2.0-84907854205,0,0
2-s2.0-84890356498,28,32
2-s2.0-84900401483,0,0
2-s2.0-84914677597,1,1
2-s2.0-84899928066,0,0
2-s2.0-84902073782,3,3
2-s2.0-84904090084,0,0
2-s2.0-84890549752,0,0
2-s2.0-84900549247,0,0
2-s2.0-84901252160,1,1
2-s2.0-84888428712,0,0
2-s2.0-84906708537,1,1
2-s2.0-85027287237,0,0
2-s2.0-84893510507,0,0
2-s2.0-84911483834,0,0
2-s2.0-84896377429,7,8
2-s2.0-84901687806,0,0
2-s2.0-84922382813,0,0
2-s2.0-84889648193,2,2
2-s2.0-84897681069,0,0
2-s2.0-84894078094,0,2
2-s2.0-84958762329,0,0
2-s2.0-84961704481,0,0
2-s2.0-84941711872,0,0
2-s2.0-84961198751,0,0
2-s2.0-84941794594,2,2
2-s2.0-84925936200,1,1
2-s2.0-84929327537,5,6
2-s2.0-85011319101,4,8
2-s2.0-84922658425,0,2
2-s2.0-84923382465,0,0
2-s2.0-84936750530,0,0
2-s2.0-84942425344,1,1
2-s2.0-84929333698,6,6
2-s2.0-84941259826,0,0
2-s2.0-84928320656,0,0
2-s2.0-84945194567,0,0
2-s2.0-84947794307,0,0
2-s2.0-84943361918,0,1
2-s2.0-85091809814,0,0
2-s2.0-84959170895,0,0
2-s2.0-84982915249,4,4
2-s2.0-84955307142,1,1
2-s2.0-84969579993,12,14
2-s2.0-84979205158,0,0
2-s2.0-84957998987,13,14
2-s2.0-84944937468,3,3
2-s2.0-84967102576,0,0
2-s2.0-84938703554,15,17
2-s2.0-84997173255,0,0
2-s2.0-84990884964,0,0
2-s2.0-84958581188,1,1
2-s2.0-84973281988,3,3
2-s2.0-84958817826,1,1
2-s2.0-84958163037,6,11
2-s2.0-84981276371,1,1
2-s2.0-84958151403,1,1
2-s2.0-84988719651,1,1
2-s2.0-85008414356,0,0
2-s2.0-84979620088,0,0
2-s2.0-84953365284,0,0
2-s2.0-84955695299,0,0
2-s2.0-84961575344,7,8
